Ward,Office,Party,Candidate,Total,Total Percentage
7,CONSTITUTIONAL AMENDMENT NO. 2,Nonpartisan,NO - AGAINST THE AMENDMENT,1301,27.59%
7,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,YES - FOR THE AMENDMENT,328,6.68%
7,CONSTITUTIONAL AMENDMENT NO. 4,Nonpartisan,NO - AGAINST THE AMENDMENT,4584,93.32%
7,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,YES - FOR THE AMENDMENT,373,7.58%
7,CONSTITUTIONAL AMENDMENT NO. 5,Nonpartisan,NO - AGAINST THE AMENDMENT,4550,92.42%
7,PROPOSITION M,Nonpartisan,YES - FOR THE PROPOSITION,3885,81.48%
7,PROPOSITION M,Nonpartisan,NO - AGAINST THE PROPOSITION,883,18.52%
8,STATE AUDITOR,Republican,SCOTT FITZPATRICK,126,82.35%
8,STATE AUDITOR,Republican,GERALD (JERRY) WISTRAND JR.,27,17.65%
8,STATE AUDITOR,Democratic,QUENTIN WILSON,2140,66.29%
8,STATE AUDITOR,Democratic,GREGORY UPCHURCH,1088,33.71%
8,STATE AUDITOR,Libertarian,DUSTIN COFFELL,8,100.00%
8,U.S. REPRESENTATIVE DIST 1,Republican,PAUL BERRY III,69,44.23%
8,U.S. REPRESENTATIVE DIST 1,Republican,ANDREW JONES,87,55.77%
8,U.S. REPRESENTATIVE DIST 1,Democratic,ALISSA MURPHY,76,1.88%
8,U.S. REPRESENTATIVE DIST 1,Democratic,CARL E. HARRIS SR,52,1.29%
8,U.S. REPRESENTATIVE DIST 1,Democratic,CORI BUSH,1999,49.54%
8,U.S. REPRESENTATIVE DIST 1,Democratic,WESLEY BELL,1884,46.69%
8,U.S. REPRESENTATIVE DIST 1,Democratic,CARL EARNEST HENDERSON,24,0.59%
8,U.S. REPRESENTATIVE DIST 1,Libertarian,TOM SCHMITZ,10,100.00%
